"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"2020-09-27T12:00:00.000Z","RealisedPNL","-219973","0","XBTUSD","Completed","250076322"
"2020-09-26T12:00:00.000Z","RealisedPNL","-308748","0","XBTUSD","Completed","250296295"
"2020-09-25T12:00:00.000Z","RealisedPNL","3827765","0","XBTUSD","Completed","250605043"
"2020-09-24T12:00:00.000Z","RealisedPNL","7513185","0","XBTUSD","Completed","246777278"
"2020-09-23T12:00:00.000Z","RealisedPNL","-7275135","0","XBTUSD","Completed","239264093"
"2020-09-22T12:00:00.000Z","RealisedPNL","2228192","0","XBTUSD","Completed","246539228"
"2020-09-21T12:00:00.000Z","RealisedPNL","11674087","0","XBTUSD","Completed","244311036"
"2020-09-21T12:00:00.000Z","RealisedPNL","-13974647","0","ETHUSD","Completed","232636949"
"2020-09-20T12:00:00.000Z","RealisedPNL","13547462","0","XBTUSD","Completed","246611596"
"2020-09-19T12:00:00.000Z","RealisedPNL","-288344","0","XBTUSD","Completed","233064134"
"2020-09-18T12:00:00.000Z","RealisedPNL","-12856370","0","XBTUSD","Completed","233352478"
"2020-09-17T12:00:00.000Z","RealisedPNL","48665464","0","XBTUSD","Completed","246208848"
"2020-09-16T12:00:00.000Z","RealisedPNL","946","0","XBTUSD","Completed","197543384"
"2020-09-15T12:00:00.000Z","RealisedPNL","11525101","0","XBTUSD","Completed","197542438"
"2020-09-14T12:00:00.000Z","RealisedPNL","3054575","0","XBTUSD","Completed","186017337"
"2020-09-13T12:00:00.000Z","RealisedPNL","-5847474","0","XBTUSD","Completed","182962762"
"2020-09-12T12:00:00.000Z","RealisedPNL","7851613","0","XBTUSD","Completed","188810236"
"2020-09-11T12:00:00.000Z","RealisedPNL","-2986710","0","XBTUSD","Completed","180958623"
"2020-09-10T12:00:00.000Z","RealisedPNL","-24562","0","XBTUSD","Completed","183945333"
"2020-09-09T12:00:00.000Z","RealisedPNL","-17980222","0","XBTUSD","Completed","183969895"
