"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"2020-07-01T12:00:00.000Z","RealisedPNL","-512827","0","XBTUSD","Completed","118468012"
"2020-06-30T12:00:00.000Z","RealisedPNL","3681509","0","XBTUSD","Completed","118980839"
"2020-06-29T12:00:00.000Z","RealisedPNL","-371492","0","XBTUSD","Completed","115299330"
"2020-06-28T12:00:00.000Z","RealisedPNL","-278168","0","XBTUSD","Completed","115670822"
"2020-06-27T12:00:00.000Z","RealisedPNL","-1665976","0","XBTUSD","Completed","115948990"
"2020-06-26T12:00:00.000Z","RealisedPNL","3658994","0","XBTUSD","Completed","117614966"
"2020-06-25T12:00:00.000Z","RealisedPNL","2751866","0","XBTUSD","Completed","113955972"
"2020-06-24T12:00:00.000Z","RealisedPNL","-16636059","0","XBTUSD","Completed","111204106"
"2020-06-24T08:38:55.253Z","Withdrawal","-25100000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","127840165"
"2020-06-23T12:00:00.000Z","RealisedPNL","32359923","0","XBTUSD","Completed","152940165"
"2020-06-22T12:00:00.000Z","RealisedPNL","-359106","0","XBTUSD","Completed","120580242"
"2020-06-21T12:00:00.000Z","RealisedPNL","-360248","0","XBTUSD","Completed","120939348"
"2020-06-20T12:00:00.000Z","RealisedPNL","-360023","0","XBTUSD","Completed","121299596"
"2020-06-19T12:00:00.000Z","RealisedPNL","887253","0","XBTUSD","Completed","121659619"
"2020-06-18T12:00:00.000Z","RealisedPNL","9192840","0","XBTUSD","Completed","120772366"
"2020-06-17T12:00:00.000Z","RealisedPNL","-161890","0","XBTUSD","Completed","111579526"
"2020-06-16T12:00:00.000Z","RealisedPNL","-18208305","0","XBTUSD","Completed","111741416"
"2020-06-15T12:00:00.000Z","RealisedPNL","8626678","0","XBTUSD","Completed","129949721"
"2020-06-14T12:00:00.000Z","RealisedPNL","-3100432","0","XBTUSD","Completed","121323043"
"2020-06-13T12:00:00.000Z","RealisedPNL","-463096","0","XBTUSD","Completed","124423475"
"2020-06-12T12:00:00.000Z","RealisedPNL","-25953798","0","XBTUSD","Completed","124886571"
"2020-06-11T12:00:00.000Z","RealisedPNL","-15177065","0","XBTUSD","Completed","150840369"
"2020-06-09T12:00:00.000Z","RealisedPNL","4021699","0","ETHUSD","Completed","166017434"
"2020-06-08T12:00:00.000Z","RealisedPNL","11613734","0","ETHUSD","Completed","161995735"
"2020-06-07T12:00:00.000Z","RealisedPNL","3950418","0","XBTUSD","Completed","150382001"
"2020-06-07T12:00:00.000Z","RealisedPNL","6390604","0","ETHUSD","Completed","146431583"
"2020-06-07T08:44:44.849Z","Withdrawal","-12630793","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","140040979"
"2020-06-06T12:00:00.000Z","RealisedPNL","978960","0","ETHUSD","Completed","152671772"
"2020-06-05T12:00:00.000Z","RealisedPNL","-7413167","0","XBTUSD","Completed","151692812"
"2020-06-05T12:00:00.000Z","RealisedPNL","-17780","0","ETHUSD","Completed","159105979"
"2020-06-04T12:00:00.000Z","RealisedPNL","46272","0","XBTUSD","Completed","159123759"
"2020-06-03T12:00:00.000Z","RealisedPNL","3208370","0","XBTUSD","Completed","159077487"
"2020-06-02T12:00:00.000Z","RealisedPNL","-228386","0","XBTUSD","Completed","155869117"
"2020-06-01T12:00:00.000Z","RealisedPNL","-2421334","0","XBTUSD","Completed","156097503"
"2020-05-31T12:00:00.000Z","RealisedPNL","235381","0","XBTUSD","Completed","158518837"
"2020-05-30T12:00:00.000Z","RealisedPNL","195525","0","XBTUSD","Completed","158283456"
"2020-05-27T12:00:00.000Z","RealisedPNL","-3385068","0","XBTUSD","Completed","158087931"
"2020-05-26T12:00:00.000Z","RealisedPNL","-341146","0","XBTUSD","Completed","161472999"
"2020-05-25T12:00:00.000Z","RealisedPNL","18311353","0","XBTUSD","Completed","161814145"
"2020-05-24T12:00:00.000Z","RealisedPNL","47390","0","XBTUSD","Completed","143502792"
"2020-05-23T12:00:00.000Z","RealisedPNL","10270427","0","XBTUSD","Completed","143455402"
"2020-05-22T12:00:00.000Z","RealisedPNL","149706","0","XBTUSD","Completed","133184975"
"2020-05-21T12:00:00.000Z","RealisedPNL","188040","0","XBTUSD","Completed","133035269"
"2020-05-20T12:00:00.000Z","RealisedPNL","185592","0","XBTUSD","Completed","132847229"
"2020-05-19T12:00:00.000Z","RealisedPNL","187182","0","XBTUSD","Completed","132661637"
"2020-05-18T12:00:00.000Z","RealisedPNL","309972","0","XBTUSD","Completed","132474455"
"2020-05-17T12:00:00.000Z","RealisedPNL","190968","0","XBTUSD","Completed","132164483"
"2020-05-16T12:00:00.000Z","RealisedPNL","-24334118","0","XBTUSD","Completed","131973515"
"2020-05-15T12:00:00.000Z","RealisedPNL","-6011223","0","XBTUSD","Completed","156307633"
"2020-05-14T12:00:00.000Z","RealisedPNL","-7145321","0","XBTUSD","Completed","162318856"
"2020-05-13T12:00:00.000Z","RealisedPNL","11268430","0","XBTUSD","Completed","169464177"
"2020-05-12T20:28:40.826Z","Deposit","91709819","","","Completed","158195747"
"2020-05-12T12:00:00.000Z","RealisedPNL","191270","0","XBTUSD","Completed","66485928"
"2020-05-11T12:00:00.000Z","RealisedPNL","346576","0","XBTUSD","Completed","66294658"
"2020-05-10T12:00:00.000Z","RealisedPNL","-63757425","0","XBTUSD","Completed","65948082"
"2020-05-09T12:00:00.000Z","RealisedPNL","818072","0","XBTUSD","Completed","129705507"
"2020-05-08T12:00:00.000Z","RealisedPNL","-236428","0","XBTUSD","Completed","128887435"
"2020-05-08T12:00:00.000Z","RealisedPNL","1439616","0","ETHUSD","Completed","129123863"
"2020-05-07T12:00:00.000Z","RealisedPNL","40834624","0","XBTUSD","Completed","127684247"
"2020-05-07T12:00:00.000Z","RealisedPNL","-463158","0","ETHUSD","Completed","86849623"
"2020-05-06T12:20:56.158Z","Withdrawal","-16800000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","87312781"
"2020-05-06T12:00:00.000Z","RealisedPNL","-771059","0","XBTUSD","Completed","104112781"
"2020-05-05T12:00:00.000Z","RealisedPNL","11276366","0","XBTUSD","Completed","104883840"
"2020-05-04T12:00:00.000Z","RealisedPNL","7870032","0","XBTUSD","Completed","93607474"
"2020-05-03T12:00:00.000Z","RealisedPNL","4727445","0","XBTUSD","Completed","85737442"
"2020-05-02T12:00:00.000Z","RealisedPNL","-766825","0","XBTUSD","Completed","81009997"
"2020-05-01T12:00:00.000Z","RealisedPNL","-18286975","0","XBTUSD","Completed","81776822"
"2020-04-30T12:00:00.000Z","RealisedPNL","6383438","0","XBTUSD","Completed","100063797"
"2020-04-30T12:00:00.000Z","RealisedPNL","-6113953","0","BCHM20","Completed","93680359"
"2020-04-30T09:09:17.916Z","Withdrawal","-127135786","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","99794312"
"2020-04-29T12:00:00.000Z","RealisedPNL","-12578135","0","XBTUSD","Completed","226930098"
"2020-04-29T12:00:00.000Z","RealisedPNL","116956","0","BCHM20","Completed","239508233"
"2020-04-28T12:00:00.000Z","RealisedPNL","-699008","0","XBTUSD","Completed","239391277"
"2020-04-27T12:00:00.000Z","RealisedPNL","-387103","0","XBTUSD","Completed","240090285"
"2020-04-25T12:00:00.000Z","RealisedPNL","6870522","0","XBTUSD","Completed","240477388"
"2020-04-24T12:00:00.000Z","RealisedPNL","18220130","0","XBTUSD","Completed","233606866"
"2020-04-23T12:00:00.000Z","RealisedPNL","-13815942","0","XBTUSD","Completed","215386736"
"2020-04-22T12:00:00.000Z","RealisedPNL","-542301","0","XBTUSD","Completed","229202678"
"2020-04-21T12:00:00.000Z","RealisedPNL","20737868","0","XBTUSD","Completed","229744979"
"2020-04-20T12:00:00.000Z","RealisedPNL","10341549","0","XBTUSD","Completed","209007111"
"2020-04-20T12:00:00.000Z","RealisedPNL","-30892526","0","ETHUSD","Completed","198665562"
"2020-04-19T12:00:00.000Z","RealisedPNL","6593334","0","XBTUSD","Completed","229558088"
"2020-04-18T12:00:00.000Z","RealisedPNL","10127013","0","XBTUSD","Completed","222964754"
"2020-04-17T12:00:00.000Z","RealisedPNL","51132304","0","XBTUSD","Completed","212837741"
"2020-04-16T12:00:00.000Z","RealisedPNL","-35392153","0","XBTUSD","Completed","161705437"
"2020-04-15T12:43:21.821Z","Withdrawal","-98060000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","197097590"
"2020-04-14T12:00:00.000Z","RealisedPNL","9709383","0","XBTUSD","Completed","295157590"
"2020-04-14T10:48:47.736Z","Withdrawal","-15100000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","285448207"
"2020-04-13T12:19:15.132Z","Withdrawal","-20440000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","300548207"
"2020-04-13T12:00:00.000Z","RealisedPNL","76214828","0","XBTUSD","Completed","320988207"
"2020-04-12T12:00:00.000Z","RealisedPNL","720837","0","XBTUSD","Completed","244773379"
"2020-04-11T12:00:00.000Z","RealisedPNL","1911743","0","XBTUSD","Completed","244052542"
"2020-04-10T12:00:00.000Z","RealisedPNL","-5674918","0","XBTUSD","Completed","242140799"
"2020-04-09T12:00:00.000Z","RealisedPNL","17717696","0","XBTUSD","Completed","247815717"
"2020-04-08T12:00:00.000Z","RealisedPNL","31497882","0","XBTUSD","Completed","230098021"
"2020-04-08T10:25:35.283Z","Withdrawal","-22400000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","198600139"
"2020-04-07T12:00:00.000Z","RealisedPNL","47817862","0","XBTUSD","Completed","221000139"
"2020-04-06T12:00:00.000Z","RealisedPNL","-534819","0","XBTUSD","Completed","173182277"
"2020-04-05T12:00:00.000Z","RealisedPNL","22703180","0","XBTUSD","Completed","173717096"
"2020-04-04T12:00:00.000Z","RealisedPNL","777046","0","XBTUSD","Completed","151013916"
