"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"2019-11-28T12:00:00.000Z","RealisedPNL","-232155","0","XBTUSD","Completed","28355379"
"2019-11-28T12:00:00.000Z","RealisedPNL","10015962","0","ETHUSD","Completed","28587534"
"2019-11-27T12:00:00.000Z","RealisedPNL","-112119","0","ETHUSD","Completed","18571572"
"2019-11-26T12:00:00.000Z","RealisedPNL","12569451","0","XBTUSD","Completed","18683691"
"2019-11-26T12:00:00.000Z","RealisedPNL","-4380499","0","ETHUSD","Completed","6114240"
"2019-11-25T12:00:00.000Z","RealisedPNL","22924","0","XBTUSD","Completed","10494739"
"2019-11-25T05:55:45.171Z","Deposit","10243660","","","Completed","10471815"
"2019-11-22T12:00:00.000Z","RealisedPNL","2158108","0","XBTUSD","Completed","228155"
"2019-11-22T12:00:00.000Z","RealisedPNL","-32290162","0","ETHUSD","Completed","-1929953"
"2019-11-21T12:00:00.000Z","RealisedPNL","-174227","0","ETHUSD","Completed","30360209"
"2019-11-20T12:00:00.000Z","RealisedPNL","-135820","0","ETHUSD","Completed","30534436"
"2019-11-19T12:00:00.000Z","RealisedPNL","-9236595","0","XBTUSD","Completed","30670256"
"2019-11-19T12:00:00.000Z","RealisedPNL","-311987","0","ETHUSD","Completed","39906851"
"2019-11-18T12:00:00.000Z","RealisedPNL","112704","0","XBTUSD","Completed","40218838"
"2019-11-17T12:00:00.000Z","RealisedPNL","113322","0","XBTUSD","Completed","40106134"
"2019-11-16T12:00:00.000Z","RealisedPNL","11211146","0","XBTUSD","Completed","39992812"
"2019-11-15T12:00:00.000Z","RealisedPNL","209436","0","XBTUSD","Completed","28781666"
"2019-11-14T12:00:00.000Z","RealisedPNL","6568715","0","XBTUSD","Completed","28572230"
"2019-11-13T12:00:00.000Z","RealisedPNL","-23391068","0","XBTUSD","Completed","22003515"
"2019-11-12T12:00:00.000Z","RealisedPNL","-137360","0","XBTUSD","Completed","45394583"
"2019-11-11T12:00:00.000Z","RealisedPNL","-383747","0","XBTUSD","Completed","45531943"
"2019-11-11T12:00:00.000Z","RealisedPNL","-3622232","0","ETHUSD","Completed","45915690"
"2019-11-10T12:00:00.000Z","RealisedPNL","5465049","0","ETHUSD","Completed","49537922"
"2019-11-09T12:00:00.000Z","RealisedPNL","2054178","0","ETHUSD","Completed","44072873"
"2019-11-08T12:00:00.000Z","RealisedPNL","1028207","0","XBTUSD","Completed","42018695"
"2019-11-08T12:00:00.000Z","RealisedPNL","-2756475","0","ETHUSD","Completed","40990488"
"2019-11-07T12:00:00.000Z","RealisedPNL","577739","0","XBTUSD","Completed","43746963"
"2019-11-07T12:00:00.000Z","RealisedPNL","-135623","0","ETHUSD","Completed","43169224"
"2019-11-06T12:00:00.000Z","RealisedPNL","2011602","0","XBTUSD","Completed","43304847"
"2019-11-05T12:00:00.000Z","RealisedPNL","5104255","0","XBTUSD","Completed","41293245"
"2019-11-04T12:00:00.000Z","RealisedPNL","-152577","0","XBTUSD","Completed","36188990"
"2019-11-03T12:11:24.563Z","Deposit","36300671","","","Completed","36341567"
"2019-10-26T12:00:00.000Z","RealisedPNL","-6566569","0","XBTUSD","Completed","40896"
"2019-10-26T12:00:00.000Z","RealisedPNL","-8089667","0","BCHZ19","Completed","6607465"
"2019-10-25T12:00:00.000Z","RealisedPNL","3808966","0","BCHZ19","Completed","14697132"
"2019-10-21T12:00:00.000Z","RealisedPNL","1969758","0","BCHZ19","Completed","10888166"
"2019-10-17T12:00:00.000Z","RealisedPNL","-1630100","0","ETHUSD","Completed","8918408"
"2019-10-17T12:00:00.000Z","RealisedPNL","-189926","0","BCHZ19","Completed","10548508"
"2019-10-16T12:00:00.000Z","RealisedPNL","2813047","0","ETHUSD","Completed","10738434"
"2019-10-15T12:00:00.000Z","RealisedPNL","801340","0","XBTUSD","Completed","7925387"
"2019-10-15T12:00:00.000Z","RealisedPNL","84593","0","ETHUSD","Completed","7124047"
"2019-10-14T12:00:00.000Z","RealisedPNL","-116196","0","XBTUSD","Completed","7039454"
"2019-10-14T12:00:00.000Z","RealisedPNL","19936","0","ETHUSD","Completed","7155650"
"2019-10-13T23:14:52.370Z","Deposit","6934554","","","Completed","7135714"
"2019-10-12T12:00:00.000Z","RealisedPNL","-9235486","0","XBTUSD","Completed","201160"
"2019-10-11T12:00:00.000Z","RealisedPNL","-199519","0","XBTUSD","Completed","9436646"
"2019-10-10T17:19:41.134Z","Deposit","9617202","","","Completed","9636165"
"2019-10-08T12:00:00.000Z","RealisedPNL","-12355388","0","XBTUSD","Completed","18963"
"2019-10-08T12:00:00.000Z","RealisedPNL","-831614","0","ETHUSD","Completed","12374351"
"2019-10-07T12:00:00.000Z","RealisedPNL","70253","0","XBTUSD","Completed","13205965"
"2019-10-06T12:00:00.000Z","RealisedPNL","-11663088","0","XBTUSD","Completed","13135712"
"2019-10-05T12:00:00.000Z","RealisedPNL","42847","0","XBTUSD","Completed","24798800"
"2019-10-04T12:00:00.000Z","RealisedPNL","53404","0","XBTUSD","Completed","24755953"
"2019-10-03T12:00:00.000Z","RealisedPNL","-2752359","0","XBTUSD","Completed","24702549"
"2019-10-02T12:00:00.000Z","RealisedPNL","-2969303","0","XBTUSD","Completed","27454908"
"2019-10-01T12:40:27.091Z","Deposit","30368809","","","Completed","30424211"
"2019-09-30T12:00:00.000Z","RealisedPNL","-11915561","0","XBTUSD","Completed","55402"
"2019-09-29T12:00:00.000Z","RealisedPNL","28029","0","XBTUSD","Completed","11970963"
"2019-09-28T12:00:00.000Z","RealisedPNL","3348471","0","XBTUSD","Completed","11942934"
"2019-09-28T12:00:00.000Z","RealisedPNL","-4504531","0","ETHUSD","Completed","8594463"
"2019-09-27T12:00:00.000Z","RealisedPNL","318885","0","XBTUSD","Completed","13098994"
"2019-09-27T12:00:00.000Z","RealisedPNL","-24573742","0","ETHUSD","Completed","12780109"
"2019-09-26T12:00:00.000Z","RealisedPNL","1230149","0","XBTUSD","Completed","37353851"
"2019-09-26T12:00:00.000Z","RealisedPNL","-436534","0","ETHUSD","Completed","36123702"
"2019-09-25T12:00:00.000Z","RealisedPNL","-85936898","0","XBTUSD","Completed","36560236"
"2019-09-24T12:00:00.000Z","RealisedPNL","134006","0","XBTUSD","Completed","122497134"
"2019-09-24T12:00:00.000Z","RealisedPNL","-32140211","0","ETHUSD","Completed","122363128"
"2019-09-23T12:00:00.000Z","RealisedPNL","-28682293","0","ETHUSD","Completed","154503339"
"2019-09-22T12:00:00.000Z","RealisedPNL","-600879","0","ETHUSD","Completed","183185632"
"2019-09-20T12:00:00.000Z","RealisedPNL","-16371372","0","XBTUSD","Completed","183786511"
"2019-09-20T12:00:00.000Z","RealisedPNL","35291407","0","ETHUSD","Completed","200157883"
"2019-09-19T12:00:00.000Z","RealisedPNL","26514067","0","ETHUSD","Completed","164866476"
