"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"2021-01-05T12:00:00.000Z","RealisedPNL","-10545676","0","XBTUSD","Completed","0"
"2021-01-05T09:15:52.243Z","Withdrawal","-11758468","150000","1M5aN5BSsinTP4dZ4xoaMGyb3o2fYPvYQ3","Completed","10545676"
"2021-01-04T12:00:00.000Z","RealisedPNL","-43072437","0","XBTUSD","Completed","22304144"
"2021-01-03T12:00:00.000Z","RealisedPNL","-22856337","0","XBTUSD","Completed","65376581"
"2021-01-02T12:00:00.000Z","RealisedPNL","129473","0","XBTUSD","Completed","88232918"
"2021-01-01T12:00:00.000Z","RealisedPNL","-4965894","0","XBTUSD","Completed","88103445"
"2020-12-31T12:00:00.000Z","RealisedPNL","3074092","0","XBTUSD","Completed","93069339"
"2020-12-30T12:00:00.000Z","RealisedPNL","-10826602","0","XBTUSD","Completed","89995247"
"2020-12-29T12:17:42.398Z","Withdrawal","-108200000","200000","1BJUxZC6qwx9mgGNWKFVBEUgoXgux4grkY","Completed","100821849"
"2020-12-29T12:00:00.000Z","RealisedPNL","-1122796","0","XBTUSD","Completed","209021849"
"2020-12-28T12:00:00.000Z","RealisedPNL","5814067","0","XBTUSD","Completed","210144645"
"2020-12-26T12:00:00.000Z","RealisedPNL","-2844467","0","XBTUSD","Completed","204330578"
"2020-12-25T12:00:00.000Z","RealisedPNL","-2845938","0","XBTUSD","Completed","207175045"
"2020-12-24T12:00:00.000Z","RealisedPNL","6443825","0","XBTUSD","Completed","210020983"
"2020-12-23T12:00:00.000Z","RealisedPNL","-7008390","0","XBTUSD","Completed","203577158"
"2020-12-22T12:00:00.000Z","RealisedPNL","7693359","0","XBTUSD","Completed","210585548"
"2020-12-21T12:00:00.000Z","RealisedPNL","-2547317","0","XBTUSD","Completed","202892189"
"2020-12-20T12:00:00.000Z","RealisedPNL","198838","0","XBTUSD","Completed","205439506"
"2020-12-19T12:00:00.000Z","RealisedPNL","-3214233","0","XBTUSD","Completed","205240668"
"2020-12-18T12:00:00.000Z","RealisedPNL","7073746","0","XBTUSD","Completed","208454901"
"2020-12-17T12:00:00.000Z","RealisedPNL","-14469798","0","XBTUSD","Completed","201381155"
"2020-12-17T11:48:24.787Z","Withdrawal","-35120000","120000","1M5aN5BSsinTP4dZ4xoaMGyb3o2fYPvYQ3","Completed","215850953"
"2020-12-14T12:00:00.000Z","RealisedPNL","2462673","0","XBTUSD","Completed","250970953"
"2020-12-13T12:00:00.000Z","RealisedPNL","-13525687","0","XBTUSD","Completed","248508280"
"2020-12-11T12:00:00.000Z","RealisedPNL","41729155","0","XBTUSD","Completed","262033967"
"2020-12-10T12:00:00.000Z","RealisedPNL","206501","0","XBTUSD","Completed","220304812"
"2020-12-09T12:00:00.000Z","RealisedPNL","202986","0","XBTUSD","Completed","220098311"
"2020-12-08T12:00:00.000Z","RealisedPNL","-844245","0","XBTUSD","Completed","219895325"
"2020-12-07T12:00:00.000Z","RealisedPNL","-492809","0","XBTUSD","Completed","220739570"
"2020-12-06T12:00:00.000Z","RealisedPNL","4371545","0","XBTUSD","Completed","221232379"
"2020-12-05T12:00:00.000Z","RealisedPNL","1253678","0","XBTUSD","Completed","216860834"
"2020-12-04T12:00:00.000Z","RealisedPNL","64012","0","XBTUSD","Completed","215607156"
"2020-12-03T12:00:00.000Z","RealisedPNL","2069688","0","XBTUSD","Completed","215543144"
"2020-12-02T12:00:00.000Z","RealisedPNL","116529","0","XBTUSD","Completed","213473456"
"2020-12-01T12:00:00.000Z","RealisedPNL","5337275","0","XBTUSD","Completed","213356927"
"2020-11-30T12:00:00.000Z","RealisedPNL","-9509065","0","XBTUSD","Completed","208019652"
"2020-11-29T12:00:00.000Z","RealisedPNL","-141549","0","XBTUSD","Completed","217528717"
"2020-11-27T12:00:00.000Z","RealisedPNL","-123635","0","XBTUSD","Completed","217670266"
"2020-11-26T12:00:00.000Z","RealisedPNL","17180583","0","XBTUSD","Completed","217793901"
"2020-11-24T12:00:00.000Z","RealisedPNL","806071","0","XBTUSD","Completed","200613318"
"2020-11-23T12:00:00.000Z","RealisedPNL","-390528","0","XBTUSD","Completed","199807247"
"2020-11-23T12:00:00.000Z","RealisedPNL","-1121730","0","ETHUSD","Completed","200197775"
